feature,mi_score
HasDeductible_x_ReimburseMax,0.14451043784598383
Has_Deductible,0.1371651725786558
DaysAdm_max,0.11751062063177242
is_inpatient,0.11628095122081072
ClaimDur_max,0.11486893359335681
Proc_Entropy,0.1118887850304977
Reimburse_max_pctile,0.10599161828456483
Reimburse_max,0.10448286741604518
IsoForest_Anomaly,0.09757372143196874
IP_ClaimDur_mean,0.08900814145197633
Reimburse_p99,0.0865033553587049
Diag_Entropy,0.08380703986453275
DiagCode_5849_frac,0.08069621477881062
IP_Reimburse_mean,0.07949126083166069
IP_ChargePerDay_mean,0.0775274722935726
IP_Reimburse_std,0.07651882065480353
Proc_Code_Count,0.07622099038243091
DaysAdm_kurtosis,0.07550327896284248
DaysAdm_std,0.07518379535945585
DeductibleAmtPaid,0.07513958493224338
Reimburse_iqr,0.07483899244851644
InpatientRatio_x_ReimburseMax,0.07445491774805224
Reimburse_std,0.07373500399075272
DiagCode_5990_frac,0.07302575382814291
Reimburse_p95,0.07265521805298669
Deductible_std,0.07242054138594134
ProcCode_4019.0_frac,0.07213421503835682
Beneficiary_Count,0.07142352579301292
DiagCode_486_frac,0.07090696059019375
DiagCode_2768_frac,0.070604016551437
DiagCode_27651_frac,0.06904473594823957
Claim_Gap_Mean,0.06833427480051535
ClaimCount_pctile,0.06793690348307058
DiagCode_41401_frac,0.06754543315042638
Deductible_max,0.06556582739025596
OpPhys_AvgReimb_mean,0.0652060641542036
Claim_Gap_Std,0.06498357192862336
DiagCode_4280_frac,0.06459055536564473
Reimburse_Deductible_Ratio,0.06417686837167302
Claim_Count,0.06410264239605667
Phys_AvgReimb_std,0.06306564003731752
ProcCode_2724.0_frac,0.06268837461077026
Days_Admitted,0.0620280728698841
DiagCode_412_frac,0.06153778647714914
InscClaimAmtReimbursed,0.060132272314229684
Reimburse_mean_pctile,0.0597000868108124
DiagCode_40390_frac,0.059241283621020324
ProcCode_8154.0_frac,0.05786735282409361
OpPhys_AvgReimb_std,0.05758242958565685
DiagCode_2948_frac,0.05757182260714577
DiagCode_42789_frac,0.057200013528656335
DiagCode_30000_frac,0.05685421829670956
DiagCode_73300_frac,0.05639285801332772
DiagCode_71590_frac,0.0561863967055809
Diag_Code_Count,0.05520824756610554
ProcCode_66.0_frac,0.05507100467614068
Unique_Counties,0.05490843918519506
DiagCode_311_frac,0.054487625452410704
IP_OP_Reimburse_Ratio,0.054314220410045966
DiagCode_496_frac,0.05347589945524378
DiagCode_2859_frac,0.05333244697501405
DiagCode_V1582_frac,0.053271160293857145
DiagCode_53081_frac,0.053182681354906114
DiagCode_4439_frac,0.05272222581012498
DiagCode_5859_frac,0.05255639388159894
DiagCode_49390_frac,0.05198291848836778
DiagCode_42731_frac,0.051349512270888686
DiagCode_41400_frac,0.05128373673461728
ProcCode_3995.0_frac,0.05108406058289683
ClaimDur_mean_pctile,0.0510584607127631
DiagCode_78079_frac,0.050991928879454695
DiagCode_25000_frac,0.05090842954810526
DiagCode_5856_frac,0.050895181571867676
Provider_Network_Degree,0.05003765451941855
ProcCode_3893.0_frac,0.04972574806550578
DiagCode_3051_frac,0.04894204200529684
DiagCode_4019_frac,0.04830874114798389
ProcCode_9904.0_frac,0.047895302248380345
Claim_Duration,0.04788062287875494
DiagCode_V4581_frac,0.04753248471796212
DiagCode_2449_frac,0.046553169684067086
DiagCode_V1254_frac,0.046342737227873965
DiagCode_56210_frac,0.04615569612215675
ProcCode_8151.0_frac,0.04578288438611633
DiagCode_28521_frac,0.0451752152905196
Unique_Physicians,0.04506604299751005
IPAnnualDeductibleAmt,0.04383400128693182
ProcCode_3722.0_frac,0.04376760368068067
Weekend_Claim_Ratio,0.043531680183645394
ProcCode_4516.0_frac,0.04321597050430093
Unique_States,0.043109474176324714
DiagCode_78650_frac,0.04296158778963144
ProcCode_9390.0_frac,0.04293703436572893
DiagCode_58881_frac,0.04291900826576445
ProcCode_9671.0_frac,0.041894749962385625
DiagCode_V5866_frac,0.04161098310452327
ProcCode_5849.0_frac,0.041335834644721015
DiagCode_7242_frac,0.04094975589581229
ClaimDur_std,0.040194543725455834
IsoForest_Score,0.03988581783374756
ProcCode_8872.0_frac,0.03988097937958357
DiagCode_78605_frac,0.039553038110397454
ProcCode_7935.0_frac,0.03937532215193418
DiagCode_V5869_frac,0.03936306241568377
DiagCode_7812_frac,0.03922182718858691
DiagCode_4011_frac,0.03908677353029444
DiagCode_V5861_frac,0.03879217410683644
MonthEnd_Claim_Ratio,0.03836872999542362
DeadRatio_pctile,0.03768165181592131
Dominant_State_Frac,0.03734270126186923
IPAnnualReimbursementAmt,0.036895617457627816
Dead_Beneficiary_Count,0.036891276966589004
Dead_Patient_Ratio,0.03684994795763963
Physician_Count,0.03662786858694722
ProcCode_9672.0_frac,0.036388554263570905
DiagCode_7295_frac,0.036223986897624405
ProcCode_4513.0_frac,0.036187933065995326
DiagCode_2720_frac,0.03609163286146111
Bene_Gender_Ratio,0.03572684991813202
Same_Physician,0.03571065007573426
DiagCode_2724_frac,0.03567915197612925
DiagCode_2809_frac,0.03529817919621503
Bene_CoverageA_Mean,0.034452782487525146
Reimburse_kurtosis,0.03284015613156166
ClaimDur_kurtosis,0.03263744442529104
ReimburseCV_x_ClaimDurStd,0.03245161329056545
Disease_Count,0.031136988891043105
Bene_Chronic_Std,0.030972850638204097
Physician_HHI,0.030881451283844674
Max_Providers_Per_Bene,0.030267215369384592
ProcCode_5123.0_frac,0.02979732494515197
Claims_Per_Bene,0.029785920097569196
DiagCode_2722_frac,0.02958783293895184
Reimburse_skew,0.02875057254035407
ClaimDate_std,0.028551225535928593
Bene_Exclusivity,0.028242682155348753
Bene_Age_Std,0.028161257062637945
DiagCode_V5883_frac,0.027771145844869505
ProcCode_8152.0_frac,0.02716185055218645
Phys_Role_Overlap,0.027088330481830347
Avg_Providers_Per_Bene,0.025867673371883892
DiagCode_72887_frac,0.025760510787922408
Claim_DOY_mean,0.024888344963717834
ProcCode_9339.0_frac,0.023261960685285965
Phys_ClaimCount_mean,0.02245758487738203
Age,0.021316802376705857
Reimburse_CV,0.02046912477153673
OPAnnualDeductibleAmt,0.017216185558798003
Reimburse_min,0.016990139175290464
OP_Reimburse_mean,0.014841015208443054
OP_Reimburse_std,0.013916814070053407
OP_ClaimDur_mean,0.013129453124693269
OPAnnualReimbursementAmt,0.011594138148324662
PhysHHI_x_DiagEntropy,0.010790766368774518
