feature,mean_abs_shap
Has_Deductible,1.922541546053976
Reimburse_max,0.8036625363706686
ClaimDur_max,0.7911153550138488
Claims_Per_Bene,0.5809917367605882
Dead_Patient_Ratio,0.4784691157509103
Reimburse_Deductible_Ratio,0.32086743552247937
ClaimDur_std,0.30852874511342837
InscClaimAmtReimbursed,0.30323288144276506
Dead_Beneficiary_Count,0.29290466664608883
DaysAdm_max,0.2745929857804484
Reimburse_std,0.2738338784222828
Proc_Code_Count,0.21868401661989098
Physician_Count,0.19173623825943573
TotalClaimAmt,0.15908861018401962
Reimburse_CV,0.15891773361355127
IPAnnualReimbursementAmt,0.1571150861462513
Deductible_max,0.15422595178160037
Unique_Physicians,0.15338326405201214
ChronicCond_ObstrPulmonary,0.14764339069412954
ChronicCond_Osteoporasis,0.14686929266302007
Disease_Count,0.14296452054549755
IPAnnualDeductibleAmt,0.1418010018333237
DaysAdm_std,0.13235457184905047
OPAnnualDeductibleAmt,0.12101492934467369
ChronicCond_stroke,0.1076697573624315
IP_TotalAmt,0.10003510051096776
Beneficiary_Count,0.09463740804505462
Same_Physician,0.09285571719744314
RenalDiseaseIndicator,0.0916648759408187
Claim_GT_Admitted,0.08842028619484028
DeductibleAmtPaid,0.07849584971071842
ChronicCond_KidneyDisease,0.07837748042373936
Has_AdmitDiag,0.07654845895102073
Diag_Code_Count,0.07293363428883029
OPAnnualReimbursementAmt,0.07052093791057244
Claim_Duration,0.06927796520996053
Age,0.06485822122749332
Has_GroupCode,0.060282881038855735
ChronicCond_Cancer,0.058891596273993055
is_inpatient,0.05675273934492597
Deductible_std,0.05659336576114121
OP_TotalAmt,0.050463669749304454
Reimburse_min,0.046875916689563354
ChronicCond_Heartfailure,0.04684769406695768
Inpatient_Ratio,0.03744714109920262
Days_Admitted,0.032746094938931276
ChronicCond_Alzheimer,0.03226112777251268
ChronicCond_rheumatoidarthritis,0.028582027704171554
ChronicCond_Depression,0.018197901004162065
ChronicCond_IschemicHeart,0.013599460871544834
ChronicCond_Diabetes,0.008291882738380113
Claim_Count,0.006007317016992834
