feature,mean_abs_shap
Has_Deductible,2.061957021220341
Reimburse_max,0.9528662029039472
ClaimDur_max,0.844379484121861
Claims_Per_Bene,0.675080308519717
Dead_Patient_Ratio,0.5788347808021421
InscClaimAmtReimbursed,0.4398881682711231
Reimburse_Deductible_Ratio,0.41453246482498546
ClaimDur_std,0.3781383348779544
Dead_Beneficiary_Count,0.36841731717270176
Reimburse_std,0.367020855565738
DaysAdm_max,0.36070134277881744
Proc_Code_Count,0.30428818044130274
ChronicCond_Osteoporasis,0.22955231899781817
IPAnnualReimbursementAmt,0.22393734301710083
Physician_Count,0.22055689785501437
Disease_Count,0.19892049061217
Reimburse_CV,0.19866873667993407
IPAnnualDeductibleAmt,0.19577383345743232
Unique_Physicians,0.19089300895612318
TotalClaimAmt,0.184709653939834
Deductible_max,0.17445231587016552
IP_TotalAmt,0.1614783629273911
ChronicCond_ObstrPulmonary,0.15168810733486282
OPAnnualDeductibleAmt,0.13999920062593454
DaysAdm_std,0.12987975484519965
Beneficiary_Count,0.12606912688803795
ChronicCond_KidneyDisease,0.1226452165162037
DeductibleAmtPaid,0.1189530149866014
Claim_GT_Admitted,0.11838679756824129
ChronicCond_stroke,0.11812145316023687
Same_Physician,0.11532138066957147
Has_AdmitDiag,0.1144429673013251
Age,0.10110074100713304
RenalDiseaseIndicator,0.09282392969083095
ChronicCond_Cancer,0.08796071820580297
Has_GroupCode,0.08293279313917629
Deductible_std,0.08176512743670394
OP_TotalAmt,0.0803665922524683
Diag_Code_Count,0.07888434094462493
ChronicCond_Heartfailure,0.07575310599491399
Claim_Duration,0.07467956451683003
OPAnnualReimbursementAmt,0.0745521279517939
is_inpatient,0.06563018302439924
Reimburse_min,0.06411263018595727
ChronicCond_Alzheimer,0.058129261357424356
Inpatient_Ratio,0.04614770402449476
Days_Admitted,0.04032607322212689
ChronicCond_rheumatoidarthritis,0.03741225574346678
ChronicCond_Depression,0.0297816470921681
ChronicCond_Diabetes,0.01777830340704893
ChronicCond_IschemicHeart,0.014471747513171348
Claim_Count,0.013601042812841817
